ID_merimeeLabel,item,itemLabel,itemDescription,proprietaireLabel,occupantLabel,naissance_dedansLabel,img,coordonnées,paysLabel,type_maison,type_maisonLabel
PA00086909,http://www.wikidata.org/entity/Q22922427,maison natale de Louis Braille,maison natale de Louis Braille à Coupvray (Seine-et-Marne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Braille%20house.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI081,http://www.wikidata.org/entity/Q22922427,maison natale de Louis Braille,maison natale de Louis Braille à Coupvray (Seine-et-Marne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Braille%20house.JPG,,France,http://www.wikidata.org/entity/Q33506,musée
PA00086909,http://www.wikidata.org/entity/Q22922427,maison natale de Louis Braille,maison natale de Louis Braille à Coupvray (Seine-et-Marne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Braille%20house.JPG,,France,http://www.wikidata.org/entity/Q33506,musée
MI082,http://www.wikidata.org/entity/Q22923142,maison de Stéphane Mallarmé,maison à Vulaines-sur-Seine (Seine-et-Marne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20St%C3%A9phane%20Mallarm%C3%A9e%20vue%20d%27ensemble%201.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
PA00087333,http://www.wikidata.org/entity/Q22923142,maison de Stéphane Mallarmé,maison à Vulaines-sur-Seine (Seine-et-Marne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%20de%20St%C3%A9phane%20Mallarm%C3%A9e%20vue%20d%27ensemble%201.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
PA00087464,http://www.wikidata.org/entity/Q22923671,maison du clos des Metz,maison à Jouy-en-Josas (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jouy-en-Josas%20Maison%20Blum.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
MI224,http://www.wikidata.org/entity/Q22939760,maison Henri Martin,maison à Saint-Cirq-Lapopie (Lot),,,,http://commons.wikimedia.org/wiki/Special:FilePath/2012-12-28T17-52-13%20img%200880.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA00095228,http://www.wikidata.org/entity/Q22939760,maison Henri Martin,maison à Saint-Cirq-Lapopie (Lot),,,,http://commons.wikimedia.org/wiki/Special:FilePath/2012-12-28T17-52-13%20img%200880.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
MI113,http://www.wikidata.org/entity/Q22939975,maison natale du maréchal Foch,maison natale à Tarbes (Hautes-Pyrénées),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tarbes%20Foch.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA00095430,http://www.wikidata.org/entity/Q22939975,maison natale du maréchal Foch,maison natale à Tarbes (Hautes-Pyrénées),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tarbes%20Foch.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI230,http://www.wikidata.org/entity/Q22943869,château de Denainvilliers,château à Dadonville (Loiret),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chateaudenainvilliers.jpg,,France,http://www.wikidata.org/entity/Q751876,château
PA00098761,http://www.wikidata.org/entity/Q22943869,château de Denainvilliers,château à Dadonville (Loiret),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Chateaudenainvilliers.jpg,,France,http://www.wikidata.org/entity/Q751876,château
MI055,http://www.wikidata.org/entity/Q22953117,"maison, 24 rue du Commerce",maison à Lons-le-Saunier (Jura),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%2024%20rue%20Commerce%20Lons%20Saunier%202.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA00101903,http://www.wikidata.org/entity/Q22953117,"maison, 24 rue du Commerce",maison à Lons-le-Saunier (Jura),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maison%2024%20rue%20Commerce%20Lons%20Saunier%202.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
MI096,http://www.wikidata.org/entity/Q22953501,"immeuble, 53 rue de Verdun",immeuble à Carcassonne (Aude),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Carcassonne%20%28Aude%29%2C%20Maison%20Jo%C3%AB%20Bousquet%20%281%29.JPG,,France,http://www.wikidata.org/entity/Q11755959,immeuble
PA00102931,http://www.wikidata.org/entity/Q22953501,"immeuble, 53 rue de Verdun",immeuble à Carcassonne (Aude),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Carcassonne%20%28Aude%29%2C%20Maison%20Jo%C3%AB%20Bousquet%20%281%29.JPG,,France,http://www.wikidata.org/entity/Q11755959,immeuble
MI096,http://www.wikidata.org/entity/Q22953501,"immeuble, 53 rue de Verdun",immeuble à Carcassonne (Aude),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Carcassonne%20%28Aude%29%2C%20Maison%20Jo%C3%AB%20Bousquet%20%281%29.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
PA00102931,http://www.wikidata.org/entity/Q22953501,"immeuble, 53 rue de Verdun",immeuble à Carcassonne (Aude),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Carcassonne%20%28Aude%29%2C%20Maison%20Jo%C3%AB%20Bousquet%20%281%29.JPG,,France,http://www.wikidata.org/entity/Q3947,maison
MI195,http://www.wikidata.org/entity/Q22963633,château du Tertre,château à Sérigny et Saint-Martin-du-Vieux-Bellême (Orne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9rigy%2C%20Orne%2C%20ch%C3%A2teau%20du%20Tertre%20bu%2007170007.jpg,,France,http://www.wikidata.org/entity/Q751876,château
PA61000009,http://www.wikidata.org/entity/Q22963633,château du Tertre,château à Sérigny et Saint-Martin-du-Vieux-Bellême (Orne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9rigy%2C%20Orne%2C%20ch%C3%A2teau%20du%20Tertre%20bu%2007170007.jpg,,France,http://www.wikidata.org/entity/Q751876,château
